"DISTRITO","UNIDADE","AREA","ANO","MES","PRIM_CONS_ODO","TC","PROCEDIMENTOS"
"Continente","CS JARDIM ATLÂNTICO",0,2018,5,13,19,122
"Continente","CS JARDIM ATLÂNTICO",0,2018,6,39,31,235
"Continente","CS JARDIM ATLÂNTICO",0,2018,7,38,38,183
"Continente","CS JARDIM ATLÂNTICO",1,2018,4,6,4,51
"Continente","CS JARDIM ATLÂNTICO",1,2018,5,19,16,125
"Continente","CS JARDIM ATLÂNTICO",1,2018,6,28,21,181
"Continente","CS JARDIM ATLÂNTICO",1,2018,7,22,26,167
"Continente","CS MONTE CRISTO",0,2018,4,20,4,141
"Continente","CS MONTE CRISTO",0,2018,5,6,7,121
"Continente","CS MONTE CRISTO",0,2018,6,12,8,98
"Continente","CS MONTE CRISTO",0,2018,7,21,7,125
"Continente","CS MONTE CRISTO",1,2018,4,14,5,111
"Continente","CS MONTE CRISTO",1,2018,5,12,8,182
"Continente","CS MONTE CRISTO",1,2018,6,14,11,211
"Continente","CS MONTE CRISTO",1,2018,7,34,13,199
"Continente","CS MONTE CRISTO",2,2018,4,9,4,56
"Continente","CS MONTE CRISTO",2,2018,5,8,1,41
"Continente","CS MONTE CRISTO",2,2018,6,5,3,64
"Continente","CS MONTE CRISTO",2,2018,7,14,7,115
"Continente","CS MONTE CRISTO",3,2018,4,6,3,105
"Continente","CS MONTE CRISTO",3,2018,5,7,5,124
"Continente","CS MONTE CRISTO",3,2018,6,10,6,79
"Continente","CS MONTE CRISTO",3,2018,7,15,4,115
"Continente","CS MONTE CRISTO",4,2018,4,11,9,118
"Continente","CS MONTE CRISTO",4,2018,5,10,7,189
"Continente","CS MONTE CRISTO",4,2018,6,10,7,174
"Continente","CS MONTE CRISTO",4,2018,7,32,10,173
"Continente","CS MONTE CRISTO",5,2018,4,8,4,87
"Continente","CS MONTE CRISTO",5,2018,5,5,6,88
"Continente","CS MONTE CRISTO",5,2018,6,5,2,65
"Continente","CS MONTE CRISTO",5,2018,7,12,6,106
"Continente","CS MONTE CRISTO",6,2018,4,5,3,55
"Continente","CS MONTE CRISTO",6,2018,5,2,4,34
"Continente","CS MONTE CRISTO",6,2018,6,3,4,44
"Continente","CS MONTE CRISTO",6,2018,7,4,0,33
"Continente","CS NOVO CONTINENTE",0,2018,4,0,0,24
"Continente","CS NOVO CONTINENTE",0,2018,5,13,6,106
"Continente","CS NOVO CONTINENTE",0,2018,6,21,19,181
"Continente","CS NOVO CONTINENTE",0,2018,7,19,15,225
"Continente","CS NOVO CONTINENTE",1,2018,4,0,0,24
"Continente","CS NOVO CONTINENTE",1,2018,5,6,9,110
