"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Norte","CS SANTINHO","2014 Q4",447
"Norte","CS SANTO ANTONIO LISBOA","2014 Q4",174
"Continente","CS SAPE","2014 Q4",22
"Sul","CS TAPERA","2014 Q4",490
"Centro","CS TRINDADE","2014 Q4",208
"Norte","CS VARGEM GRANDE","2014 Q4",335
"Norte","CS VARGEM PEQUENA","2014 Q4",113
"Continente","CS VILA APARECIDA","2014 Q4",18
"Continente","CS ABRAÃO","2015 Q1",38
"Centro","CS AGRONÔMICA","2015 Q1",161
"Sul","CS ALTO RIBEIRÃO","2015 Q1",272
"Sul","CS ARMAÇÃO","2015 Q1",254
"Continente","CS BALNEÁRIO","2015 Q1",12
"Norte","CS BARRA DA LAGOA","2015 Q1",128
"Norte","CS CACHOEIRA BOM JESUS","2015 Q1",570
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q1",104
"Sul","CS CAMPECHE","2015 Q1",568
"Norte","CS CANASVIEIRAS","2015 Q1",1576
"Sul","CS CANTO DA LAGOA","2015 Q1",65
"Continente","CS CAPOEIRAS","2015 Q1",41
"Sul","CS CARIANOS","2015 Q1",262
"Centro","CS CENTRO","2015 Q1",145
"Continente","CS COLONINHA","2015 Q1",26
"Continente","CS COQUEIROS","2015 Q1",38
"Centro","CS CÓRREGO GRANDE","2015 Q1",62
"Sul","CS COSTA DA LAGOA","2015 Q1",19
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q1",607
"Continente","CS ESTREITO","2015 Q1",32
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q1",503
"Norte","CS INGLESES","2015 Q1",1701
"Centro","CS ITACORUBI","2015 Q1",106
"Continente","CS JARDIM ATLÂNTICO","2015 Q1",9
"Centro","CS JOÃO PAULO","2015 Q1",39
"Norte","CS JURERE","2015 Q1",236
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q1",198
"Continente","CS MONTE CRISTO","2015 Q1",57
"Centro","CS MONTE SERRAT","2015 Q1",107
"Sul","CS MORRO DAS PEDRAS","2015 Q1",455
"Continente","CS NOVO CONTINENTE","2015 Q1",27
"Centro","CS PANTANAL","2015 Q1",80
"Sul","CS PANTANO DO SUL","2015 Q1",109
"Norte","CS PONTA DAS CANAS","2015 Q1",237
"Centro","CS PRAINHA","2015 Q1",255
"Norte","CS RATONES","2015 Q1",191
"Sul","CS RIBEIRÃO DA ILHA","2015 Q1",127
"Sul","CS RIO TAVARES","2015 Q1",374
"Norte","CS RIO VERMELHO","2015 Q1",858
"Centro","CS SACO DOS LIMÕES","2015 Q1",418
"Norte","CS SACO GRANDE","2015 Q1",341
"Norte","CS SANTINHO","2015 Q1",475
"Norte","CS SANTO ANTONIO LISBOA","2015 Q1",168
"Continente","CS SAPE","2015 Q1",20
"Sul","CS TAPERA","2015 Q1",480
"Centro","CS TRINDADE","2015 Q1",204
"Norte","CS VARGEM GRANDE","2015 Q1",295
"Norte","CS VARGEM PEQUENA","2015 Q1",90
"Continente","CS VILA APARECIDA","2015 Q1",21
"Continente","CS ABRAÃO","2015 Q2",22
"Centro","CS AGRONÔMICA","2015 Q2",162
"Sul","CS ALTO RIBEIRÃO","2015 Q2",206
"Sul","CS ARMAÇÃO","2015 Q2",179
"Continente","CS BALNEÁRIO","2015 Q2",9
"Norte","CS BARRA DA LAGOA","2015 Q2",137
"Norte","CS CACHOEIRA BOM JESUS","2015 Q2",474
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q2",73
"Sul","CS CAMPECHE","2015 Q2",455
"Norte","CS CANASVIEIRAS","2015 Q2",1345
"Sul","CS CANTO DA LAGOA","2015 Q2",55
"Continente","CS CAPOEIRAS","2015 Q2",28
"Sul","CS CARIANOS","2015 Q2",212
"Centro","CS CENTRO","2015 Q2",97
"Continente","CS COLONINHA","2015 Q2",22
"Continente","CS COQUEIROS","2015 Q2",32
"Centro","CS CÓRREGO GRANDE","2015 Q2",42
"Sul","CS COSTA DA LAGOA","2015 Q2",20
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q2",420
"Continente","CS ESTREITO","2015 Q2",28
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q2",440
"Norte","CS INGLESES","2015 Q2",1409
"Centro","CS ITACORUBI","2015 Q2",138
"Continente","CS JARDIM ATLÂNTICO","2015 Q2",14
"Centro","CS JOÃO PAULO","2015 Q2",23
"Norte","CS JURERE","2015 Q2",211
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q2",144
"Continente","CS MONTE CRISTO","2015 Q2",39
"Centro","CS MONTE SERRAT","2015 Q2",85
"Sul","CS MORRO DAS PEDRAS","2015 Q2",368
"Continente","CS NOVO CONTINENTE","2015 Q2",30
"Centro","CS PANTANAL","2015 Q2",65
"Sul","CS PANTANO DO SUL","2015 Q2",86
"Norte","CS PONTA DAS CANAS","2015 Q2",252
"Centro","CS PRAINHA","2015 Q2",152
"Norte","CS RATONES","2015 Q2",211
"Sul","CS RIBEIRÃO DA ILHA","2015 Q2",76
"Sul","CS RIO TAVARES","2015 Q2",264
"Norte","CS RIO VERMELHO","2015 Q2",838
