"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Norte","CS VARGEM GRANDE","2014 Q4",17
"Norte","CS VARGEM PEQUENA","2014 Q4",27
"Continente","CS VILA APARECIDA","2014 Q4",8
"Continente","CS ABRAÃO","2015 Q1",20
"Centro","CS AGRONÔMICA","2015 Q1",170
"Sul","CS ALTO RIBEIRÃO","2015 Q1",7
"Sul","CS ARMAÇÃO","2015 Q1",33
"Continente","CS BALNEÁRIO","2015 Q1",72
"Norte","CS BARRA DA LAGOA","2015 Q1",96
"Norte","CS CACHOEIRA BOM JESUS","2015 Q1",10
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q1",3
"Sul","CS CAMPECHE","2015 Q1",56
"Norte","CS CANASVIEIRAS","2015 Q1",97
"Sul","CS CANTO DA LAGOA","2015 Q1",23
"Continente","CS CAPOEIRAS","2015 Q1",56
"Sul","CS CARIANOS","2015 Q1",62
"Centro","CS CENTRO","2015 Q1",70
"Continente","CS COLONINHA","2015 Q1",110
"Continente","CS COQUEIROS","2015 Q1",152
"Centro","CS CÓRREGO GRANDE","2015 Q1",8
"Sul","CS COSTA DA LAGOA","2015 Q1",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q1",117
"Continente","CS ESTREITO","2015 Q1",67
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q1",52
"Norte","CS INGLESES","2015 Q1",198
"Centro","CS ITACORUBI","2015 Q1",96
"Continente","CS JARDIM ATLÂNTICO","2015 Q1",68
"Centro","CS JOÃO PAULO","2015 Q1",74
"Norte","CS JURERE","2015 Q1",89
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q1",10
"Continente","CS MONTE CRISTO","2015 Q1",237
"Centro","CS MONTE SERRAT","2015 Q1",33
"Sul","CS MORRO DAS PEDRAS","2015 Q1",56
"Continente","CS NOVO CONTINENTE","2015 Q1",122
"Centro","CS PANTANAL","2015 Q1",75
"Sul","CS PANTANO DO SUL","2015 Q1",37
"Norte","CS PONTA DAS CANAS","2015 Q1",86
"Centro","CS PRAINHA","2015 Q1",17
"Norte","CS RATONES","2015 Q1",50
"Sul","CS RIBEIRÃO DA ILHA","2015 Q1",16
"Sul","CS RIO TAVARES","2015 Q1",25
"Norte","CS RIO VERMELHO","2015 Q1",244
"Centro","CS SACO DOS LIMÕES","2015 Q1",21
"Norte","CS SACO GRANDE","2015 Q1",49
"Norte","CS SANTINHO","2015 Q1",69
"Norte","CS SANTO ANTONIO LISBOA","2015 Q1",67
"Continente","CS SAPE","2015 Q1",8
"Sul","CS TAPERA","2015 Q1",47
"Centro","CS TRINDADE","2015 Q1",165
"Norte","CS VARGEM GRANDE","2015 Q1",56
"Norte","CS VARGEM PEQUENA","2015 Q1",39
"Continente","CS VILA APARECIDA","2015 Q1",5
"Continente","CS ABRAÃO","2015 Q2",36
"Centro","CS AGRONÔMICA","2015 Q2",105
"Sul","CS ALTO RIBEIRÃO","2015 Q2",5
"Sul","CS ARMAÇÃO","2015 Q2",43
"Continente","CS BALNEÁRIO","2015 Q2",76
"Norte","CS BARRA DA LAGOA","2015 Q2",76
"Norte","CS CACHOEIRA BOM JESUS","2015 Q2",44
"Sul","CS CAIEIRA BARRA DO SUL","2015 Q2",4
"Sul","CS CAMPECHE","2015 Q2",76
"Norte","CS CANASVIEIRAS","2015 Q2",86
"Sul","CS CANTO DA LAGOA","2015 Q2",34
"Continente","CS CAPOEIRAS","2015 Q2",55
"Sul","CS CARIANOS","2015 Q2",74
"Centro","CS CENTRO","2015 Q2",56
"Continente","CS COLONINHA","2015 Q2",121
"Continente","CS COQUEIROS","2015 Q2",81
"Centro","CS CÓRREGO GRANDE","2015 Q2",83
"Sul","CS COSTA DA LAGOA","2015 Q2",7
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2015 Q2",46
"Continente","CS ESTREITO","2015 Q2",104
"Sul","CS FAZENDA DO RIO TAVARES","2015 Q2",76
"Norte","CS INGLESES","2015 Q2",132
"Centro","CS ITACORUBI","2015 Q2",113
"Continente","CS JARDIM ATLÂNTICO","2015 Q2",48
"Centro","CS JOÃO PAULO","2015 Q2",77
"Norte","CS JURERE","2015 Q2",79
"Sul","CS LAGOA DA CONCEIÇÃO","2015 Q2",7
"Continente","CS MONTE CRISTO","2015 Q2",172
"Centro","CS MONTE SERRAT","2015 Q2",48
"Sul","CS MORRO DAS PEDRAS","2015 Q2",47
"Continente","CS NOVO CONTINENTE","2015 Q2",92
"Centro","CS PANTANAL","2015 Q2",47
"Sul","CS PANTANO DO SUL","2015 Q2",37
"Norte","CS PONTA DAS CANAS","2015 Q2",74
"Centro","CS PRAINHA","2015 Q2",56
"Norte","CS RATONES","2015 Q2",55
"Sul","CS RIBEIRÃO DA ILHA","2015 Q2",21
"Sul","CS RIO TAVARES","2015 Q2",24
"Norte","CS RIO VERMELHO","2015 Q2",233
"Centro","CS SACO DOS LIMÕES","2015 Q2",17
"Norte","CS SACO GRANDE","2015 Q2",37
"Norte","CS SANTINHO","2015 Q2",100
"Norte","CS SANTO ANTONIO LISBOA","2015 Q2",149
"Continente","CS SAPE","2015 Q2",33
"Sul","CS TAPERA","2015 Q2",11
"Centro","CS TRINDADE","2015 Q2",134
