"DISTRITO","UNIDADE","AREA","TRIMESTRE","VALOR"
"Sul","CS RIBEIRÃO DA ILHA",220,"2017 Q4",52
"Sul","CS PANTANO DO SUL",230,"2017 Q4",32
"Sul","CS ARMAÇÃO",240,"2017 Q4",48
"Sul","CS ARMAÇÃO",241,"2017 Q4",23
"Sul","CS ARMAÇÃO",242,"2017 Q4",5
"Sul","CS MORRO DAS PEDRAS",250,"2017 Q4",41
"Sul","CS MORRO DAS PEDRAS",251,"2017 Q4",50
"Sul","CS TAPERA",260,"2017 Q4",12
"Sul","CS TAPERA",261,"2017 Q4",10
"Sul","CS TAPERA",262,"2017 Q4",28
"Sul","CS TAPERA",263,"2017 Q4",6
"Sul","CS CARIANOS",270,"2017 Q4",59
"Sul","CS CARIANOS",271,"2017 Q4",92
"Sul","CS CARIANOS",272,"2017 Q4",13
"Sul","CS CAMPECHE",280,"2017 Q4",15
"Sul","CS CAMPECHE",281,"2017 Q4",5
"Sul","CS RIO TAVARES",290,"2017 Q4",14
"Sul","CS RIO TAVARES",291,"2017 Q4",5
"Sul","CS RIO TAVARES",292,"2017 Q4",2
"Sul","CS RIO TAVARES",293,"2017 Q4",0
"Continente","CS SAPE",30,"2017 Q4",23
"Sul","CS COSTEIRA DO PIRAJUBAÉ",300,"2017 Q4",38
"Sul","CS COSTEIRA DO PIRAJUBAÉ",301,"2017 Q4",51
"Sul","CS COSTEIRA DO PIRAJUBAÉ",302,"2017 Q4",30
"Continente","CS SAPE",31,"2017 Q4",13
"Centro","CS SACO DOS LIMÕES",310,"2017 Q4",15
"Centro","CS SACO DOS LIMÕES",311,"2017 Q4",15
"Centro","CS SACO DOS LIMÕES",312,"2017 Q4",27
"Centro","CS SACO DOS LIMÕES",313,"2017 Q4",3
"Centro","CS SACO DOS LIMÕES",314,"2017 Q4",5
"Centro","CS JOÃO PAULO",320,"2017 Q4",40
"Centro","CS JOÃO PAULO",321,"2017 Q4",56
"Norte","CS SACO GRANDE",330,"2017 Q4",45
"Norte","CS SACO GRANDE",331,"2017 Q4",85
"Norte","CS SACO GRANDE",332,"2017 Q4",56
"Norte","CS SACO GRANDE",333,"2017 Q4",117
"Norte","CS SACO GRANDE",334,"2017 Q4",46
"Norte","CS SACO GRANDE",335,"2017 Q4",105
"Norte","CS VARGEM PEQUENA",340,"2017 Q4",127
"Norte","CS RATONES",350,"2017 Q4",37
"Norte","CS RATONES",351,"2017 Q4",11
"Norte","CS SANTO ANTONIO LISBOA",360,"2017 Q4",51
"Norte","CS SANTO ANTONIO LISBOA",361,"2017 Q4",36
