"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Sul","CS CARIANOS","2014 Q3","PERCENTUAL_TODOS_TRI",50
"Centro","CS CENTRO","2014 Q3","PERCENTUAL_TODOS_TRI",42.8571428571429
"Continente","CS COLONINHA","2014 Q3","PERCENTUAL_TODOS_TRI",42.8571428571429
"Continente","CS COQUEIROS","2014 Q3","PERCENTUAL_TODOS_TRI",44.4444444444444
"Centro","CS CÓRREGO GRANDE","2014 Q3","PERCENTUAL_TODOS_TRI",80
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q3","PERCENTUAL_TODOS_TRI",50
"Continente","CS ESTREITO","2014 Q3","PERCENTUAL_TODOS_TRI",46.1538461538462
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q3","PERCENTUAL_TODOS_TRI",75
"Norte","CS INGLESES","2014 Q3","PERCENTUAL_TODOS_TRI",52.4390243902439
"Centro","CS ITACORUBI","2014 Q3","PERCENTUAL_TODOS_TRI",41.1764705882353
"Continente","CS JARDIM ATLÂNTICO","2014 Q3","PERCENTUAL_TODOS_TRI",0
"Centro","CS JOÃO PAULO","2014 Q3","PERCENTUAL_TODOS_TRI",71.4285714285714
"Norte","CS JURERE","2014 Q3","PERCENTUAL_TODOS_TRI",57.1428571428571
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q3","PERCENTUAL_TODOS_TRI",71.4285714285714
"Continente","CS MONTE CRISTO","2014 Q3","PERCENTUAL_TODOS_TRI",49.1228070175439
"Centro","CS MONTE SERRAT","2014 Q3","PERCENTUAL_TODOS_TRI",60
"Sul","CS MORRO DAS PEDRAS","2014 Q3","PERCENTUAL_TODOS_TRI",52.1739130434783
"Continente","CS NOVO CONTINENTE","2014 Q3","PERCENTUAL_TODOS_TRI",68.4210526315789
"Centro","CS PANTANAL","2014 Q3","PERCENTUAL_TODOS_TRI",42.8571428571429
"Sul","CS PANTANO DO SUL","2014 Q3","PERCENTUAL_TODOS_TRI",60
"Norte","CS PONTA DAS CANAS","2014 Q3","PERCENTUAL_TODOS_TRI",40
"Centro","CS PRAINHA","2014 Q3","PERCENTUAL_TODOS_TRI",73.9130434782609
"Norte","CS RATONES","2014 Q3","PERCENTUAL_TODOS_TRI",28.5714285714286
"Sul","CS RIBEIRÃO DA ILHA","2014 Q3","PERCENTUAL_TODOS_TRI",60
"Sul","CS RIO TAVARES","2014 Q3","PERCENTUAL_TODOS_TRI",68.1818181818182
"Norte","CS RIO VERMELHO","2014 Q3","PERCENTUAL_TODOS_TRI",47.8260869565217
