"DISTRITO","UNIDADE","TRIMESTRE","VALOR"
"Norte","CS RATONES","2016 Q2",101
"Sul","CS RIBEIRÃO DA ILHA","2016 Q2",67
"Sul","CS RIO TAVARES","2016 Q2",85
"Norte","CS RIO VERMELHO","2016 Q2",385
"Centro","CS SACO DOS LIMÕES","2016 Q2",153
"Norte","CS SACO GRANDE","2016 Q2",382
"Norte","CS SANTINHO","2016 Q2",172
"Norte","CS SANTO ANTONIO LISBOA","2016 Q2",154
"Continente","CS SAPE","2016 Q2",70
"Sul","CS TAPERA","2016 Q2",124
"Centro","CS TRINDADE","2016 Q2",180
"Norte","CS VARGEM GRANDE","2016 Q2",34
"Norte","CS VARGEM PEQUENA","2016 Q2",65
"Continente","CS VILA APARECIDA","2016 Q2",51
"Continente","CS ABRAÃO","2016 Q3",49
"Centro","CS AGRONÔMICA","2016 Q3",231
"Sul","CS ALTO RIBEIRÃO","2016 Q3",105
"Sul","CS ARMAÇÃO","2016 Q3",204
"Continente","CS BALNEÁRIO","2016 Q3",146
"Norte","CS BARRA DA LAGOA","2016 Q3",158
"Norte","CS CACHOEIRA BOM JESUS","2016 Q3",106
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q3",17
"Sul","CS CAMPECHE","2016 Q3",130
"Norte","CS CANASVIEIRAS","2016 Q3",223
"Sul","CS CANTO DA LAGOA","2016 Q3",3
"Continente","CS CAPOEIRAS","2016 Q3",156
"Sul","CS CARIANOS","2016 Q3",232
"Centro","CS CENTRO","2016 Q3",133
"Continente","CS COLONINHA","2016 Q3",131
"Continente","CS COQUEIROS","2016 Q3",139
"Centro","CS CÓRREGO GRANDE","2016 Q3",179
"Sul","CS COSTA DA LAGOA","2016 Q3",18
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q3",299
"Continente","CS ESTREITO","2016 Q3",150
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q3",158
"Norte","CS INGLESES","2016 Q3",345
"Centro","CS ITACORUBI","2016 Q3",354
"Continente","CS JARDIM ATLÂNTICO","2016 Q3",88
"Centro","CS JOÃO PAULO","2016 Q3",128
"Norte","CS JURERE","2016 Q3",35
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q3",31
"Continente","CS MONTE CRISTO","2016 Q3",179
"Centro","CS MONTE SERRAT","2016 Q3",101
"Sul","CS MORRO DAS PEDRAS","2016 Q3",234
"Continente","CS NOVO CONTINENTE","2016 Q3",189
"Centro","CS PANTANAL","2016 Q3",100
"Sul","CS PANTANO DO SUL","2016 Q3",108
"Norte","CS PONTA DAS CANAS","2016 Q3",130
"Centro","CS PRAINHA","2016 Q3",112
"Norte","CS RATONES","2016 Q3",53
"Sul","CS RIBEIRÃO DA ILHA","2016 Q3",90
"Sul","CS RIO TAVARES","2016 Q3",84
"Norte","CS RIO VERMELHO","2016 Q3",369
"Centro","CS SACO DOS LIMÕES","2016 Q3",154
"Norte","CS SACO GRANDE","2016 Q3",286
"Norte","CS SANTINHO","2016 Q3",143
"Norte","CS SANTO ANTONIO LISBOA","2016 Q3",141
"Continente","CS SAPE","2016 Q3",81
"Sul","CS TAPERA","2016 Q3",196
"Centro","CS TRINDADE","2016 Q3",198
"Norte","CS VARGEM GRANDE","2016 Q3",7
"Norte","CS VARGEM PEQUENA","2016 Q3",39
"Continente","CS VILA APARECIDA","2016 Q3",43
"Continente","CS ABRAÃO","2016 Q4",39
"Centro","CS AGRONÔMICA","2016 Q4",268
"Sul","CS ALTO RIBEIRÃO","2016 Q4",66
"Sul","CS ARMAÇÃO","2016 Q4",90
"Continente","CS BALNEÁRIO","2016 Q4",111
"Norte","CS BARRA DA LAGOA","2016 Q4",78
"Norte","CS CACHOEIRA BOM JESUS","2016 Q4",105
"Sul","CS CAIEIRA BARRA DO SUL","2016 Q4",11
"Sul","CS CAMPECHE","2016 Q4",141
"Norte","CS CANASVIEIRAS","2016 Q4",189
"Sul","CS CANTO DA LAGOA","2016 Q4",7
"Continente","CS CAPOEIRAS","2016 Q4",99
"Sul","CS CARIANOS","2016 Q4",176
"Centro","CS CENTRO","2016 Q4",70
"Continente","CS COLONINHA","2016 Q4",150
"Continente","CS COQUEIROS","2016 Q4",107
"Centro","CS CÓRREGO GRANDE","2016 Q4",112
"Sul","CS COSTA DA LAGOA","2016 Q4",2
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2016 Q4",154
"Continente","CS ESTREITO","2016 Q4",214
"Sul","CS FAZENDA DO RIO TAVARES","2016 Q4",125
"Norte","CS INGLESES","2016 Q4",436
"Centro","CS ITACORUBI","2016 Q4",214
"Continente","CS JARDIM ATLÂNTICO","2016 Q4",34
"Centro","CS JOÃO PAULO","2016 Q4",87
"Norte","CS JURERE","2016 Q4",44
"Sul","CS LAGOA DA CONCEIÇÃO","2016 Q4",33
"Continente","CS MONTE CRISTO","2016 Q4",30
"Centro","CS MONTE SERRAT","2016 Q4",64
"Sul","CS MORRO DAS PEDRAS","2016 Q4",134
"Continente","CS NOVO CONTINENTE","2016 Q4",151
"Centro","CS PANTANAL","2016 Q4",64
"Sul","CS PANTANO DO SUL","2016 Q4",20
"Norte","CS PONTA DAS CANAS","2016 Q4",87
"Centro","CS PRAINHA","2016 Q4",55
"Norte","CS RATONES","2016 Q4",92
"Sul","CS RIBEIRÃO DA ILHA","2016 Q4",53
"Sul","CS RIO TAVARES","2016 Q4",66
"Norte","CS RIO VERMELHO","2016 Q4",303
"Centro","CS SACO DOS LIMÕES","2016 Q4",151
"Norte","CS SACO GRANDE","2016 Q4",175
