"DISTRITO","UNIDADE","TRIMESTRE","TIPO","VALOR"
"Continente","CS NOVO CONTINENTE","2017 Q1","PERCENTUAL_GEST_ODONTO",40.9090909090909
"Centro","CS PANTANAL","2017 Q1","PERCENTUAL_GEST_ODONTO",13.3333333333333
"Sul","CS PANTANO DO SUL","2017 Q1","PERCENTUAL_GEST_ODONTO",0
"Norte","CS PONTA DAS CANAS","2017 Q1","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Centro","CS PRAINHA","2017 Q1","PERCENTUAL_GEST_ODONTO",28
"Norte","CS RATONES","2017 Q1","PERCENTUAL_GEST_ODONTO",41.6666666666667
"Sul","CS RIBEIRÃO DA ILHA","2017 Q1","PERCENTUAL_GEST_ODONTO",71.4285714285714
"Sul","CS RIO TAVARES","2017 Q1","PERCENTUAL_GEST_ODONTO",5.88235294117647
"Norte","CS RIO VERMELHO","2017 Q1","PERCENTUAL_GEST_ODONTO",11.8421052631579
"Centro","CS SACO DOS LIMÕES","2017 Q1","PERCENTUAL_GEST_ODONTO",16.6666666666667
"Norte","CS SACO GRANDE","2017 Q1","PERCENTUAL_GEST_ODONTO",18.5185185185185
"Norte","CS SANTINHO","2017 Q1","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Norte","CS SANTO ANTONIO LISBOA","2017 Q1","PERCENTUAL_GEST_ODONTO",7.14285714285714
"Continente","CS SAPE","2017 Q1","PERCENTUAL_GEST_ODONTO",35.7142857142857
"Sul","CS TAPERA","2017 Q1","PERCENTUAL_GEST_ODONTO",7.5
"Centro","CS TRINDADE","2017 Q1","PERCENTUAL_GEST_ODONTO",19.4444444444444
"Norte","CS VARGEM GRANDE","2017 Q1","PERCENTUAL_GEST_ODONTO",47.0588235294118
"Norte","CS VARGEM PEQUENA","2017 Q1","PERCENTUAL_GEST_ODONTO",0
"Continente","CS VILA APARECIDA","2017 Q1","PERCENTUAL_GEST_ODONTO",20
"Continente","CS ABRAÃO","2017 Q2","PERCENTUAL_GEST_ODONTO",20
"Centro","CS AGRONÔMICA","2017 Q2","PERCENTUAL_GEST_ODONTO",28.8461538461538
"Sul","CS ALTO RIBEIRÃO","2017 Q2","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Sul","CS ARMAÇÃO","2017 Q2","PERCENTUAL_GEST_ODONTO",58.3333333333333
"Continente","CS BALNEÁRIO","2017 Q2","PERCENTUAL_GEST_ODONTO",50
"Norte","CS BARRA DA LAGOA","2017 Q2","PERCENTUAL_GEST_ODONTO",46.1538461538462
"Norte","CS CACHOEIRA BOM JESUS","2017 Q2","PERCENTUAL_GEST_ODONTO",31.0344827586207
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q2","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Sul","CS CAMPECHE","2017 Q2","PERCENTUAL_GEST_ODONTO",26.6666666666667
"Norte","CS CANASVIEIRAS","2017 Q2","PERCENTUAL_GEST_ODONTO",9.72222222222222
"Sul","CS CANTO DA LAGOA","2017 Q2","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Continente","CS CAPOEIRAS","2017 Q2","PERCENTUAL_GEST_ODONTO",47.3684210526316
"Sul","CS CARIANOS","2017 Q2","PERCENTUAL_GEST_ODONTO",50
"Centro","CS CENTRO","2017 Q2","PERCENTUAL_GEST_ODONTO",21.0526315789474
"Continente","CS COLONINHA","2017 Q2","PERCENTUAL_GEST_ODONTO",5
"Continente","CS COQUEIROS","2017 Q2","PERCENTUAL_GEST_ODONTO",61.5384615384615
"Centro","CS CÓRREGO GRANDE","2017 Q2","PERCENTUAL_GEST_ODONTO",22.2222222222222
"Sul","CS COSTA DA LAGOA","2017 Q2","PERCENTUAL_GEST_ODONTO",0
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q2","PERCENTUAL_GEST_ODONTO",23.3333333333333
"Continente","CS ESTREITO","2017 Q2","PERCENTUAL_GEST_ODONTO",46.1538461538462
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q2","PERCENTUAL_GEST_ODONTO",26.0869565217391
"Norte","CS INGLESES","2017 Q2","PERCENTUAL_GEST_ODONTO",46.7289719626168
"Centro","CS ITACORUBI","2017 Q2","PERCENTUAL_GEST_ODONTO",14.2857142857143
"Continente","CS JARDIM ATLÂNTICO","2017 Q2","PERCENTUAL_GEST_ODONTO",80
"Centro","CS JOÃO PAULO","2017 Q2","PERCENTUAL_GEST_ODONTO",28.5714285714286
"Norte","CS JURERE","2017 Q2","PERCENTUAL_GEST_ODONTO",10
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q2","PERCENTUAL_GEST_ODONTO",19.047619047619
"Continente","CS MONTE CRISTO","2017 Q2","PERCENTUAL_GEST_ODONTO",20.3125
"Centro","CS MONTE SERRAT","2017 Q2","PERCENTUAL_GEST_ODONTO",18.5185185185185
"Sul","CS MORRO DAS PEDRAS","2017 Q2","PERCENTUAL_GEST_ODONTO",26.6666666666667
"Continente","CS NOVO CONTINENTE","2017 Q2","PERCENTUAL_GEST_ODONTO",14.2857142857143
"Centro","CS PANTANAL","2017 Q2","PERCENTUAL_GEST_ODONTO",25
"Sul","CS PANTANO DO SUL","2017 Q2","PERCENTUAL_GEST_ODONTO",42.8571428571429
"Norte","CS PONTA DAS CANAS","2017 Q2","PERCENTUAL_GEST_ODONTO",33.3333333333333
"Centro","CS PRAINHA","2017 Q2","PERCENTUAL_GEST_ODONTO",26.3157894736842
